"--- BEREICH: 100 BLÖCKE (BTC 948835 bis 948935) | BTC $81086.0, STX $0.263787 ---"
BTC-Addr,STX-Addr,Commits,BTC-Total,STX-Gain,Profit $,Slot Win,Market Share,STX Share %,Multi-Blocks,Efficiency,Luck,ROI
14AUg5fvNeoJmhLm7mvBcNsrxVB8xgrczq,SPHB6E6GNWH55X9PZ3KNYMCEKTVP7YP60A0GBKPK,866,0.272682,81141.98,-706.48,16.40%,17.84%,15.46%,16,0.87,0.84,-3.20%
--- Metastack ---,Wins: 476/511.8,2736,0.827515,286726.14,$8534.75,51.18%,Mkt: 55.7%,STX: 54.6%,66,Eff: 0.98,L: 0.93,12.72%
--- Gruppe: SP30 + SP8K ---,Wins: 252/243.2,1476,0.413819,156816.19,$7811.17,24.32%,Mkt: 26.5%,STX: 29.9%,42,Eff: 1.13,L: 1.04,23.28%
STRATEGIE,Leere Blöcke: 81 / 1000,Net-Aktivität: 91.9%,,,Net-Limit:,155171 Sats,,,,,,

"--- BEREICH: 5000 BLÖCKE (BTC 943935 bis 948935) | BTC $81086.0, STX $0.263787 ---"
BTC-Addr,STX-Addr,Commits,BTC-Total,STX-Gain,Profit $,Slot Win,Market Share,STX Share %,Multi-Blocks,Efficiency,Luck,ROI
12H9DtpmYh9XyCDE9kDYZ14KpgEAQwoZt1,SP70B98HWSFY2M7JB6V6P563TR3JSBWW3S43GS8M,4552,1.711915,629506.06,27243.20,16.67%,18.17%,20.38%,117,1.12,1.10,19.63%
bc1qc86e5rpn2f2m6d76tzeq7hmz53cx08hqw8uhl7,SP30ZB6GC6D95BF9QV9CB43TZCAJ70SWYW08YZEZA,3664,1.817508,608500.69,13140.14,16.08%,17.53%,19.70%,137,1.12,0.99,8.92%
bc1qxlne4qmmgpc6rlrvrdyjprnay9q6ykg98gz2j3,SPVYF6M3FD0738FWDGDMJ84EFMGM38JS0N7DE42K,4556,2.110136,675994.60,7216.09,20.66%,22.53%,21.88%,129,0.97,0.92,4.22%
bc1qzyccvth6gnlv7d3t67dwrswyxuffcrjqumwcwv,SP8K31HEZ92FXKSP5FBSNRE1RGVH570E80X4M1K2,1031,0.163437,51991.50,462.24,1.72%,1.88%,1.68%,9,0.90,0.93,3.49%
14AUg5fvNeoJmhLm7mvBcNsrxVB8xgrczq,SPHB6E6GNWH55X9PZ3KNYMCEKTVP7YP60A0GBKPK,4358,2.031873,623738.53,-222.33,19.23%,20.97%,20.19%,129,0.96,0.91,-0.13%
bc1qv8p2vzxsmc7042cahsu73c79hvfufq52q9n69r,SP1GW59G8T3F3SYNB3PY3KT73RPXH7H42HBCGR8M7,4555,1.802401,499661.64,-14345.28,17.34%,18.90%,16.17%,110,0.86,0.79,-9.82%
15Bgnaka6dRT779dnwXCAkVAHJDfV39GnG,Unbekannt,12,0.003773,0.00,-305.96,0.01%,0.02%,0.00%,0,0.00,0.00,-100.00%
--- Metastack ---,Wins: 2560/2733.6,13663,5.624452,1805162.29,$20114.01,54.67%,Mkt: 59.6%,STX: 58.4%,356,Eff: 0.98,L: 0.94,4.41%
--- Gruppe: SP30 + SP8K ---,Wins: 880/890.1,4695,1.980945,660492.18,$13602.38,17.80%,Mkt: 19.4%,STX: 21.4%,146,Eff: 1.10,L: 0.99,8.47%
STRATEGIE,Leere Blöcke: 414 / 5000,Net-Aktivität: 91.7%,,,Net-Limit:,182733 Sats,,,,,,

